TrackingID,FrameID,LaneID,Speed
6,9,4,
10,46,3,45.87935250621063
25,113,3,48.80252919765632
26,87,4,
30,173,5,
38,192,3,
48,208,4,
69,304,4,
77,384,1,24.663164053427103
87,395,2,
97,498,4,34.28571324770146
105,479,1,
110,530,2,36.82236507646709
111,542,4,32.76699025333855
114,563,5,27.176648369910446
121,581,4,33.48837308331787
134,667,5,
141,707,1,23.684210823513467
143,680,3,
151,706,2,
154,766,3,
160,773,2,46.134129134667894
165,797,4,33.87703674742036
169,848,5,20.28550007492004
193,869,2,41.33180385331153
194,1071,1,10.745199611100889
194,1071,1,8.28920098521459
194,1071,1,8.144182238741662
194,1071,1,8.071748953715737
194,1071,1,7.996445999145252
208,938,4,30.396847962759193
219,963,3,
226,992,3,30.320044610110326
252,1041,4,
278,1093,4,30.20979182155539
295,1112,2,37.74903799230394
